form	lemma	POS	morph
༈		PUNCT
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
བཏུས་པ་	བཏུས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
ཚོགས་	ཚོགས་	NOUN
བསགས་པ་	བསགས་པ་	VERB
མཎྜ་		NON_WORD
ལ་	ལ་	PART
གྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
ཚོགས་	ཚོགས་	NOUN
བསགས་པ་	བསགས་པ་	VERB
མཎྜ་		NON_WORD
ལ་	ལ་	PART
གྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
སྟོང་གསུམ་	སྟོང་གསུམ་	OTHER
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
མདུན་	མདུན་	NOUN
གྱི་	གི་	PART
ནམ་མཁ་	ནམ་མཁའ་	NOUN
ར་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
ཞིང་	ཅིང་	PART
སྐྱབས་ཡུལ་	སྐྱབས་ཡུལ་	NO_POS
ལྟ་	ལྟ་	OTHER
གསལ་བཏབ་	གསལ་བཏབ་	NO_POS
སྟེ་	སྟེ་	PART
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
མཎྜ་		NON_WORD
ལ་	ལ་	PART
བྱི་དོར་	བྱི་དོར་	NOUN
བྱ་	བྱ་	VERB
ལ་	ལ་	PART
།		PUNCT
དྲི་བཟང་	དྲི་བཟང་	NOUN
དང་བ་	དང་བ་	NOUN
བྱུང་	བྱུང་	VERB
གི་	གི་	PART
ཆུ་	ཆུ་	VERB
བྱུག་པ་	བྱུག་པ་	NOUN
ར་	ལ་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
གི་	གི་	PART
ཚོམ་བུ་	ཚོམ་བུ་	OTHER
རང་རང་	རང་རང་	NO_POS
གི་	གི་	PART
གཞུང་	གཞུང་	NOUN
ལྟ་	ལྟ་	OTHER
བཀོད་པ་	བཀོད་པ་	VERB
དམིགས་རྟེན་	དམིགས་རྟེན་	NO_POS
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
།		PUNCT
རྒྱུན་	རྒྱུན་	NOUN
དུ་མ་	དུ་མ་	ADJ
གྲུབ་	གྲུབ་	VERB
ན་	ལ་	PART
དམིགས་པ་	དམིགས་པ་	VERB
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
རུང་	རུང་	SCONJ
སྟེ་	སྟེ་	PART
།		PUNCT
གང་ལྟར་	གང་ལྟར་	NO_POS
ཡང་	ཀྱང་	PART
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
འི་	གི་	PART
མཎྜ་		NON_WORD
ལ་	ལ་	PART
གླིང་བཞི་	གླིང་བཞི་	NO_POS
རི་རབ་	རི་རབ་	PROPN
ལྷ་གནས་	ལྷ་གནས་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
སྟོང་གསུམ་	སྟོང་གསུམ་	OTHER
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
བྱེ་བ་	བྱེ་བ་	NOUN
ཕྲག་	ཕྲག་	NUM
བརྒྱ་	བརྒྱ་	NUM
འི་	གི་	PART
ཞིང་	ཅིང་	PART
ན་	ལ་	PART
།		PUNCT
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
སྣ་	སྣ་	NOUN
བདུན་	བདུན་	NUM
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྷ་	ལྷ་	NOUN
མི་	མི་	PART
འི་	གི་	PART
ཡོ་བྱད་	ཡོ་བྱད་	NOUN
ཀྱི་	གི་	PART
འབྱོར་བ་	འབྱོར་བ་	VERB
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
ས་	གིས་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
གཏམས་	གཏམས་	VERB
ཤིང་	ཅིང་	PART
གང་བ་	གང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
ཏུ་	ལ་	PART
བདག་	བདག་	PRON
གི་	གི་	PART
ལུས་	ལུས་	NOUN
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
དགེ་ཚོགས་	དགེ་ཚོགས་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ལྟོས་མེད་	ལྟོས་མེད་	ADJ
དུ་	ལ་	PART
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
འབུལ་	འབུལ་	NO_POS
གྱིས་	གིས་	PART
།		PUNCT
དམ་པ་	དམ་པ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ས་	གིས་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
རྣམས་	རྣམས་	DET
ཐར་བ་	ཐར་བ་	VERB
དང་	དང་	NO_POS
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ལ་	ལ་	PART
